donor_uuid,acceptor_uuid,env,timezone,country,status
d4904639-69f6-4ce4-a3aa-1a9c2b9d7918,d7210d47-3afb-479e-90d5-ddb05db92a5b,prod-na,America/Los_Angeles,US,No Simulation
d4904639-69f6-4ce4-a3aa-1a9c2b9d7918,9feff5d5-f17a-4662-baf6-6314c6526a6a,prod-na,America/Los_Angeles,US,No Simulation
d4904639-69f6-4ce4-a3aa-1a9c2b9d7918,b2ba1d89-7a3a-4f31-aa14-c82639ad4466,prod-na,America/New_York,US,No Simulation
d4904639-69f6-4ce4-a3aa-1a9c2b9d7918,6e2ead32-ce9e-4ce4-a1c8-13436b5015ee,prod-na,America/Los_Angeles,US,No Simulation
d4904639-69f6-4ce4-a3aa-1a9c2b9d7918,10ba21a7-af98-47c9-a6eb-99e10d39dec8,ds,America/New_York,US,No Simulation
